feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,CD1a_pmol,CD1b_pmol,CD1c_pmol,CD1d_pmol
PC 20:2;0_20:2;0,PC,GPL,MEM,40,4,0,NA,NA,NA,NA
PC 17:0;0_24:1;0,PC,GPL,MEM,41,1,0,1.4250500202179,NA,4.50085020065308,3.026839972
PC 17:1;0_24:0;0,PC,GPL,MEM,41,1,0,0.2707200050354,NA,NA,3.054339886
PC 18:1;0_23:0;0,PC,GPL,MEM,41,1,0,0.926837980747223,NA,NA,6.356050014
PC 17:0;0_24:2;0,PC,GPL,MEM,41,2,0,NA,NA,NA,0.458718002
PC 17:1;0_24:1;0,PC,GPL,MEM,41,2,0,0.743194997310638,NA,NA,2.420370102
PC 18:1;0_23:1;0,PC,GPL,MEM,41,2,0,2.14440989494324,NA,NA,5.833610058
PC 19:1;0_22:1;0,PC,GPL,MEM,41,2,0,NA,NA,NA,NA
PC 18:0;0_24:1;0,PC,GPL,MEM,42,1,0,5.24417018890381,NA,4.95920991897583,22.83699989
PC 18:1;0_24:0;0,PC,GPL,MEM,42,1,0,11.3396997451782,0.400346011,12.5321998596191,63.30059814
PC 18:0;0_24:2;0,PC,GPL,MEM,42,2,0,2.05114006996155,NA,NA,8.316630363
PC 18:1;0_24:1;0,PC,GPL,MEM,42,2,0,19.7157001495361,0.36581701,16.9323997497559,82.78579712
PC 18:2;0_24:0;0,PC,GPL,MEM,42,2,0,NA,NA,NA,2.993769884
PC 20:1;0_22:1;0,PC,GPL,MEM,42,2,0,0.531885027885437,NA,NA,NA
PC 18:1;0_24:2;0,PC,GPL,MEM,42,3,0,2.85193991661072,NA,NA,6.921390057
PC 18:2;0_24:1;0,PC,GPL,MEM,42,3,0,0.302309989929199,NA,NA,2.378119946
PC 20:1;0_22:2;0,PC,GPL,MEM,42,3,0,NA,NA,NA,NA
PC 20:2;0_22:1;0,PC,GPL,MEM,42,3,0,NA,NA,NA,NA
PC O-16:0;0/16:0;0,PC O-,GPL,MEM,32,0,0,0.520703017711639,0.986748993,8.27350044250488,1.198240042
PC O-17:0;0/15:0;0,PC O-,GPL,MEM,32,0,0,0.732052981853485,1.13180995,13.0120000839233,2.434449911
PC O-18:0;0/14:0;0,PC O-,GPL,MEM,32,0,0,0.0959239974617958,0.143702999,1.00840997695923,0.130281001
PC O-16:0;0/16:1;0,PC O-,GPL,MEM,32,1,0,11.6546001434326,5.086530209,165.966995239258,20.55389977
PC O-16:1;0/16:0;0,PC O-,GPL,MEM,32,1,0,3.80170011520386,1.810600042,62.9171981811523,3.524159908
PC O-17:0;0/15:1;0,PC O-,GPL,MEM,32,1,0,0.177016004920006,0.108654998,2.44831991195679,0.498389006
PC O-17:1;0/15:0;0,PC O-,GPL,MEM,32,1,0,1.67584002017975,1.44333005,23.7283000946045,6.554249763
PC O-18:0;0/14:1;0,PC O-,GPL,MEM,32,1,0,NA,NA,0.51554799079895,0.054184001
PC O-18:1;0/14:0;0,PC O-,GPL,MEM,32,1,0,0.754747986793518,0.202227995,6.58283996582031,0.658299983
PC O-16:0;0/16:2;0,PC O-,GPL,MEM,32,2,0,NA,0.034912501,0.883001983165741,0.344742
